estimated_x,estimated_y,estimated_z
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.833,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.644.287,134.083.832,161.288.589
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,161.272.934
208.636.475,133.122.757,160.292.969
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
143.213.837,132.463.943,157.020.081
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.019.028
143.009.521,132.412.094,157.999.252
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,161.272.842
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
208.636.459,133.122.757,161.272.919
143.508.942,132.428.970,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.508.881,132.428.864,158.017.776
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,157.150.269
143.075.134,131.531.479,160.276.108
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.292.938
208.146.469,133.073.395,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
208.154.480,134.034.851,160.308.945
143.593.460,131.581.955,158.145.554
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
143.572.464,131.544.739,158.144.928
