estimated_x,estimated_y,estimated_z,GPIO_Pin_12,GPIO_Pin_13,GPIO_Pin_14,GPIO_Pin_15
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.833,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
208.644.287,134.083.832,161.288.589,ON,OFF,OFF,ON
