estimated_x,estimated_y,estimated_z,Status
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.833,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.644.287,134.083.832,161.288.589,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,161.272.934,GPIO_Pin_12
208.636.475,133.122.757,160.292.969,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
